word,times_added,times_removed,net_change,absolute_change
sought,7,7,0,14
plan,7,7,0,14
1971,7,7,0,14
catholics,7,7,0,14
contributions,7,8,-1,15
technology,7,6,1,13
periods,7,7,0,14
image,7,7,0,14
álvares,7,7,0,14
1810,7,7,0,14
gathered,7,7,0,14
making,7,7,0,14
1540,7,8,-1,15
archeological,7,7,0,14
guinea,7,9,-2,16
17th,7,7,0,14
minnesota,7,11,-4,18
names,7,8,-1,15
1922,7,7,0,14
1513,7,8,-1,15
leaders,7,7,0,14
works,7,7,0,14
opposed,7,7,0,14
mainstream,7,7,0,14
continuously,7,9,-2,16
eliminate,7,7,0,14
1814,7,7,0,14
september,7,7,0,14
siberian,7,7,0,14
peace,7,7,0,14
ships,7,9,-2,16
maize,7,7,0,14
